Name,Type,HP,Attack,Defense,Generation,Legendary
Seismitoad,Water,105,95,75,5,FALSE
Throh,Fighting,120,100,85,5,FALSE
Sawk,Fighting,75,125,75,5,FALSE
Sewaddle,Bug,45,53,70,5,FALSE
Swadloon,Bug,55,63,90,5,FALSE
Leavanny,Bug,75,103,80,5,FALSE
Venipede,Bug,30,45,59,5,FALSE
Whirlipede,Bug,40,55,99,5,FALSE
Scolipede,Bug,60,100,89,5,FALSE
Cottonee,Grass,40,27,60,5,FALSE
Whimsicott,Grass,60,67,85,5,FALSE
Petilil,Grass,45,35,50,5,FALSE
Lilligant,Grass,70,60,75,5,FALSE
Basculin,Water,70,92,65,5,FALSE
Sandile,Ground,50,72,35,5,FALSE
Krokorok,Ground,60,82,45,5,FALSE
Krookodile,Ground,95,117,80,5,FALSE
Darumaka,Fire,70,90,45,5,FALSE
DarmanitanStandard Mode,Fire,105,140,55,5,FALSE
DarmanitanZen Mode,Fire,105,30,105,5,FALSE
Maractus,Grass,75,86,67,5,FALSE
Dwebble,Bug,50,65,85,5,FALSE
Crustle,Bug,70,95,125,5,FALSE
Scraggy,Dark,50,75,70,5,FALSE
Scrafty,Dark,65,90,115,5,FALSE
Sigilyph,Psychic,72,58,80,5,FALSE
Yamask,Ghost,38,30,85,5,FALSE
Cofagrigus,Ghost,58,50,145,5,FALSE
Tirtouga,Water,54,78,103,5,FALSE
Carracosta,Water,74,108,133,5,FALSE
Archen,Rock,55,112,45,5,FALSE
Archeops,Rock,75,140,65,5,FALSE
Trubbish,Poison,50,50,62,5,FALSE
Garbodor,Poison,80,95,82,5,FALSE
Zorua,Dark,40,65,40,5,FALSE
Zoroark,Dark,60,105,60,5,FALSE
Minccino,Normal,55,50,40,5,FALSE
Cinccino,Normal,75,95,60,5,FALSE
Gothita,Psychic,45,30,50,5,FALSE
Gothorita,Psychic,60,45,70,5,FALSE
Gothitelle,Psychic,70,55,95,5,FALSE
Solosis,Psychic,45,30,40,5,FALSE
Duosion,Psychic,65,40,50,5,FALSE
Reuniclus,Psychic,110,65,75,5,FALSE
Ducklett,Water,62,44,50,5,FALSE
Swanna,Water,75,87,63,5,FALSE
Vanillite,Ice,36,50,50,5,FALSE
Vanillish,Ice,51,65,65,5,FALSE
Vanilluxe,Ice,71,95,85,5,FALSE
Deerling,Normal,60,60,50,5,FALSE
Sawsbuck,Normal,80,100,70,5,FALSE
Emolga,Electric,55,75,60,5,FALSE
Karrablast,Bug,50,75,45,5,FALSE
Escavalier,Bug,70,135,105,5,FALSE
Foongus,Grass,69,55,45,5,FALSE
Amoonguss,Grass,114,85,70,5,FALSE
Frillish,Water,55,40,50,5,FALSE
Jellicent,Water,100,60,70,5,FALSE
Alomomola,Water,165,75,80,5,FALSE
Joltik,Bug,50,47,50,5,FALSE
Galvantula,Bug,70,77,60,5,FALSE
Ferroseed,Grass,44,50,91,5,FALSE
Ferrothorn,Grass,74,94,131,5,FALSE
Klink,Steel,40,55,70,5,FALSE
Klang,Steel,60,80,95,5,FALSE
Klinklang,Steel,60,100,115,5,FALSE
Tynamo,Electric,35,55,40,5,FALSE
Eelektrik,Electric,65,85,70,5,FALSE
Eelektross,Electric,85,115,80,5,FALSE
Elgyem,Psychic,55,55,55,5,FALSE
Beheeyem,Psychic,75,75,75,5,FALSE
Litwick,Ghost,50,30,55,5,FALSE
Lampent,Ghost,60,40,60,5,FALSE
Chandelure,Ghost,60,55,90,5,FALSE
Axew,Dragon,46,87,60,5,FALSE
Fraxure,Dragon,66,117,70,5,FALSE
Haxorus,Dragon,76,147,90,5,FALSE
Cubchoo,Ice,55,70,40,5,FALSE
Beartic,Ice,95,110,80,5,FALSE
Cryogonal,Ice,70,50,30,5,FALSE
Shelmet,Bug,50,40,85,5,FALSE
Accelgor,Bug,80,70,40,5,FALSE
Stunfisk,Ground,109,66,84,5,FALSE
Mienfoo,Fighting,45,85,50,5,FALSE
Mienshao,Fighting,65,125,60,5,FALSE
Druddigon,Dragon,77,120,90,5,FALSE
Golett,Ground,59,74,50,5,FALSE
Golurk,Ground,89,124,80,5,FALSE
Pawniard,Dark,45,85,70,5,FALSE
Bisharp,Dark,65,125,100,5,FALSE
Bouffalant,Normal,95,110,95,5,FALSE
Rufflet,Normal,70,83,50,5,FALSE
Braviary,Normal,100,123,75,5,FALSE
Vullaby,Dark,70,55,75,5,FALSE
Mandibuzz,Dark,110,65,105,5,FALSE
Heatmor,Fire,85,97,66,5,FALSE
Durant,Bug,58,109,112,5,FALSE
Deino,Dark,52,65,50,5,FALSE
Zweilous,Dark,72,85,70,5,FALSE
Hydreigon,Dark,92,105,90,5,FALSE
Larvesta,Bug,55,85,55,5,FALSE
Volcarona,Bug,85,60,65,5,FALSE
Cobalion,Steel,91,90,129,5,TRUE
Terrakion,Rock,91,129,90,5,TRUE
Virizion,Grass,91,90,72,5,TRUE
TornadusIncarnate Forme,Flying,79,115,70,5,TRUE
TornadusTherian Forme,Flying,79,100,80,5,TRUE
ThundurusIncarnate Forme,Electric,79,115,70,5,TRUE
ThundurusTherian Forme,Electric,79,105,70,5,TRUE
Reshiram,Dragon,100,120,100,5,TRUE
Zekrom,Dragon,100,150,120,5,TRUE
LandorusIncarnate Forme,Ground,89,125,90,5,TRUE
LandorusTherian Forme,Ground,89,145,90,5,TRUE
Kyurem,Dragon,125,130,90,5,TRUE
KyuremBlack Kyurem,Dragon,125,170,100,5,TRUE
KyuremWhite Kyurem,Dragon,125,120,90,5,TRUE
KeldeoOrdinary Forme,Water,91,72,90,5,FALSE
KeldeoResolute Forme,Water,91,72,90,5,FALSE
MeloettaAria Forme,Normal,100,77,77,5,FALSE
MeloettaPirouette Forme,Normal,100,128,90,5,FALSE
Genesect,Bug,71,120,95,5,FALSE
Chespin,Grass,56,61,65,6,FALSE
Quilladin,Grass,61,78,95,6,FALSE
Chesnaught,Grass,88,107,122,6,FALSE
Fennekin,Fire,40,45,40,6,FALSE
Braixen,Fire,59,59,58,6,FALSE
Delphox,Fire,75,69,72,6,FALSE
Froakie,Water,41,56,40,6,FALSE
Frogadier,Water,54,63,52,6,FALSE
Greninja,Water,72,95,67,6,FALSE
Bunnelby,Normal,38,36,38,6,FALSE
Diggersby,Normal,85,56,77,6,FALSE
Fletchling,Normal,45,50,43,6,FALSE
Fletchinder,Fire,62,73,55,6,FALSE
Talonflame,Fire,78,81,71,6,FALSE
Scatterbug,Bug,38,35,40,6,FALSE
Spewpa,Bug,45,22,60,6,FALSE
Vivillon,Bug,80,52,50,6,FALSE
Litleo,Fire,62,50,58,6,FALSE
Pyroar,Fire,86,68,72,6,FALSE
Flabébé,Fairy,44,38,39,6,FALSE
Floette,Fairy,54,45,47,6,FALSE
Florges,Fairy,78,65,68,6,FALSE
Skiddo,Grass,66,65,48,6,FALSE
Gogoat,Grass,123,100,62,6,FALSE
Pancham,Fighting,67,82,62,6,FALSE
Pangoro,Fighting,95,124,78,6,FALSE
Furfrou,Normal,75,80,60,6,FALSE
Espurr,Psychic,62,48,54,6,FALSE
MeowsticMale,Psychic,74,48,76,6,FALSE
MeowsticFemale,Psychic,74,48,76,6,FALSE
Honedge,Steel,45,80,100,6,FALSE
Doublade,Steel,59,110,150,6,FALSE
AegislashBlade Forme,Steel,60,150,50,6,FALSE
AegislashShield Forme,Steel,60,50,150,6,FALSE
Spritzee,Fairy,78,52,60,6,FALSE
Aromatisse,Fairy,101,72,72,6,FALSE
Swirlix,Fairy,62,48,66,6,FALSE
Slurpuff,Fairy,82,80,86,6,FALSE
Inkay,Dark,53,54,53,6,FALSE
Malamar,Dark,86,92,88,6,FALSE
Binacle,Rock,42,52,67,6,FALSE
Barbaracle,Rock,72,105,115,6,FALSE
Skrelp,Poison,50,60,60,6,FALSE
Dragalge,Poison,65,75,90,6,FALSE
Clauncher,Water,50,53,62,6,FALSE
Clawitzer,Water,71,73,88,6,FALSE
Helioptile,Electric,44,38,33,6,FALSE
Heliolisk,Electric,62,55,52,6,FALSE
Tyrunt,Rock,58,89,77,6,FALSE
Tyrantrum,Rock,82,121,119,6,FALSE
Amaura,Rock,77,59,50,6,FALSE
Aurorus,Rock,123,77,72,6,FALSE
Sylveon,Fairy,95,65,65,6,FALSE
Hawlucha,Fighting,78,92,75,6,FALSE
Dedenne,Electric,67,58,57,6,FALSE
Carbink,Rock,50,50,150,6,FALSE
Goomy,Dragon,45,50,35,6,FALSE
Sliggoo,Dragon,68,75,53,6,FALSE
Goodra,Dragon,90,100,70,6,FALSE
Klefki,Steel,57,80,91,6,FALSE
Phantump,Ghost,43,70,48,6,FALSE
Trevenant,Ghost,85,110,76,6,FALSE
PumpkabooAverage Size,Ghost,49,66,70,6,FALSE
PumpkabooSmall Size,Ghost,44,66,70,6,FALSE
PumpkabooLarge Size,Ghost,54,66,70,6,FALSE
PumpkabooSuper Size,Ghost,59,66,70,6,FALSE
GourgeistAverage Size,Ghost,65,90,122,6,FALSE
GourgeistSmall Size,Ghost,55,85,122,6,FALSE
GourgeistLarge Size,Ghost,75,95,122,6,FALSE
GourgeistSuper Size,Ghost,85,100,122,6,FALSE
Bergmite,Ice,55,69,85,6,FALSE
Avalugg,Ice,95,117,184,6,FALSE
Noibat,Flying,40,30,35,6,FALSE
Noivern,Flying,85,70,80,6,FALSE
Xerneas,Fairy,126,131,95,6,TRUE
Yveltal,Dark,126,131,95,6,TRUE
Zygarde50% Forme,Dragon,108,100,121,6,TRUE
Diancie,Rock,50,100,150,6,TRUE
DiancieMega Diancie,Rock,50,160,110,6,TRUE
HoopaHoopa Confined,Psychic,80,110,60,6,TRUE
HoopaHoopa Unbound,Psychic,80,160,60,6,TRUE
Volcanion,Fire,80,110,120,6,TRUE
